City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Belmonte,BR,71.96,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
384,Vic,ES,66.06,scattered clouds,41.9301,2.2549,Up Rooms Vic Hotel
386,Laguna,US,63.75,haze,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
387,Negombo,LK,82.4,broken clouds,7.2083,79.8358,Hotel Sunset Beach
388,Boyuibe,BO,60.08,broken clouds,-20.4167,-63.2833,Residencial Eluzai
389,Shenjiamen,CN,72.84,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
390,Dorado,PR,79.47,overcast clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
393,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
395,Korla,CN,83.71,clear sky,41.7597,86.1469,Gulisitan Hotel
396,At-Bashi,KG,70.41,clear sky,41.1702,75.8106,Hostel At-Bashy
398,Crossville,US,68.95,mist,35.949,-85.0269,Hampton Inn Crossville
400,Ajaccio,FR,69.85,clear sky,42.0,8.9167,Sole E Monte
401,Zopilotepe,HN,69.82,overcast clouds,14.6,-86.2667,HOTEL COLONIAL VILLA GILMA
404,Dubbo,AU,68.13,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
407,Tawang,IN,70.72,light rain,27.5833,91.8667,Hotel Mount View
408,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
409,Gazli,UZ,88.18,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
410,Tongliao,CN,67.1,clear sky,43.6125,122.2653,Meirujia Hotel
411,Yeppoon,AU,82.18,few clouds,-23.1333,150.7333,Villa Mar Colina
412,Abu Zabad,SD,77.11,overcast clouds,12.35,29.25,حامد محمد نور
414,Victoria,HK,87.96,scattered clouds,22.2855,114.1577,Mini Central
415,Lagoa,PT,72.9,broken clouds,39.05,-27.9833,Casa Das Faias
417,Ambulu,ID,82.49,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
419,Fukue,JP,73.76,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
420,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
422,Khasan,RU,62.37,clear sky,42.4308,130.6434,Fangchuan Self-Driving Camp
425,Xiashi,CN,80.62,few clouds,30.5363,120.6864,皮都锦江大酒店
426,Dawei,MM,81.09,overcast clouds,14.0833,98.2,Hotel Dawei
427,Chifeng,CN,71.37,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
429,Bridgetown,BB,81.09,few clouds,13.1,-59.6167,Hilton Barbados Resort
431,Flinders,AU,67.17,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
433,Asyut,EG,85.64,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
434,Koumac,NC,76.3,clear sky,-20.5667,164.2833,Le Monitel
435,Opelousas,US,76.89,clear sky,30.5335,-92.0815,"Holiday Inn Express & Suites Opelousas, an IHG Hotel"
438,Labrea,BR,75.07,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
440,Villa Rica,US,70.68,clear sky,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
441,Valle De Allende,MX,67.05,broken clouds,26.9333,-105.4,Hotel Meson de San Bartolome
442,Ponta Delgada,PT,71.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
444,Ulladulla,AU,67.77,clear sky,-35.35,150.4667,Sandpiper Motel
445,Teknaf,BD,83.12,clear sky,20.8624,92.3058,Forestry Guesthouse
447,Wahpeton,US,67.93,few clouds,46.2652,-96.6059,Select Inn Breckenridge
448,Goderich,CA,67.91,few clouds,43.7501,-81.7165,Harmony Inn
451,Wanning,CN,87.06,scattered clouds,18.8003,110.3967,Paradise Hotel
452,Port Shepstone,ZA,62.01,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
453,Marzuq,YE,88.2,few clouds,14.4,46.4667,حيد القفلة
454,Anloga,GH,75.99,light rain,5.7947,0.8973,Pin Drop Hotel
456,Ocean City,US,73.42,clear sky,39.2776,-74.5746,Biscayne Suites
457,Wajima,JP,65.08,broken clouds,37.4,136.9,Wajiima Onsen Yashio
459,Bud,US,67.98,clear sky,39.447,-86.1758,Ted McQuinn Trust
460,South River,US,70.9,clear sky,40.4465,-74.386,"Holiday Inn Express & Suites Tower Center New Brunswick, an IHG Hotel"
463,Bandarbeyla,SO,89.31,clear sky,9.4942,50.8122,JABIR HOTEL
465,Chingirlau,KZ,78.66,scattered clouds,51.095,54.0814,Хостыл Аққу
466,Asuncion Mita,GT,70.16,overcast clouds,14.3308,-89.7108,Hotel Semillas De Vida
469,La Palma,US,70.07,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
470,Eldoret,KE,67.06,clear sky,0.5204,35.2699,Flora Homes
471,Bonthe,SL,74.66,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
473,Mayumba,GA,76.37,light rain,-3.432,10.6554,LIKWALE LODGE
475,Oyama,JP,72.59,light rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
476,Cap Malheureux,MU,75.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
481,Leh,IN,62.85,clear sky,34.1667,77.5833,Hotel Ladakh Greens
482,Ankpa,NG,71.91,overcast clouds,7.3706,7.6253,AA Suites
484,Bundaberg,AU,75.22,clear sky,-24.85,152.35,Takalvan Motel
488,Mazamet,FR,60.08,clear sky,43.49,2.373,La Villa de Mazamet
