City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Tambopata,PE,-12.7333,-69.1833,77.9,65,67,2.21,broken clouds
124,Nuevo Progreso,MX,23.1667,-97.95,76.46,80,9,2.24,clear sky
125,Guerrero Negro,MX,27.9769,-114.0611,69.64,80,100,12.41,overcast clouds
126,Gornopravdinsk,RU,60.05,69.9,58.37,81,100,9.6,overcast clouds
127,East London,ZA,-33.0153,27.9116,56.34,94,75,5.75,light rain
128,Chicama,PE,-7.8447,-79.1469,57.74,88,88,7.11,overcast clouds
129,Leningradskiy,RU,69.3833,178.4167,31.14,84,75,6.73,broken clouds
130,Kodiak,US,57.79,-152.4072,53.11,66,100,9.22,overcast clouds
131,Port Alfred,ZA,-33.5906,26.891,59.18,87,100,3.0,overcast clouds
132,Srivardhan,IN,18.0333,73.0167,81.99,69,31,5.26,scattered clouds
133,Faanui,PF,-16.4833,-151.75,78.53,73,0,15.01,clear sky
134,Woodbridge,US,40.5576,-74.2846,72.3,89,0,9.22,clear sky
135,Timmins,CA,48.4669,-81.3331,55.22,94,100,3.44,light intensity drizzle
136,Katsuura,JP,35.1333,140.3,71.62,83,100,15.75,overcast clouds
137,Olafsvik,IS,64.8945,-23.7142,50.83,92,100,10.13,overcast clouds
138,Kotido,UG,2.9806,34.1331,78.78,46,0,11.32,clear sky
139,Grindavik,IS,63.8424,-22.4338,51.75,100,100,10.36,light intensity drizzle
140,Kabale,UG,-1.2486,29.9899,70.21,58,15,3.36,few clouds
141,Coahuayana,MX,18.7333,-103.6833,74.41,92,100,3.33,overcast clouds
142,Hithadhoo,MV,-0.6,73.0833,82.24,73,87,10.11,overcast clouds
143,Chiredzi,ZW,-21.05,31.6667,86.79,19,0,7.07,clear sky
144,Zihuatanejo,MX,17.6333,-101.55,77.18,88,100,3.27,overcast clouds
145,Kamaishi,JP,39.2667,141.8833,64.96,87,100,5.32,light rain
146,Yellowknife,CA,62.456,-114.3525,48.27,66,99,5.75,overcast clouds
147,Kruisfontein,ZA,-34.0033,24.7314,58.89,55,0,5.93,clear sky
148,Wynyard,AU,-41.0,145.7167,54.95,81,100,5.93,light rain
149,Nemuro,JP,43.3236,145.575,57.88,66,100,16.78,overcast clouds
150,Cervo,ES,43.6702,-7.4101,63.97,82,1,11.97,clear sky
151,Oktyabrskiy,RU,54.4815,53.471,60.98,86,100,2.75,overcast clouds
152,Dikson,RU,73.5069,80.5464,33.58,81,100,8.32,light snow
153,Coos Bay,US,43.3665,-124.2179,56.98,100,0,0.0,clear sky
154,Am Timan,TD,11.0297,20.2827,78.94,83,29,3.67,scattered clouds
155,Kahului,US,20.8947,-156.47,79.84,69,20,13.8,few clouds
156,Burnie,AU,-41.0667,145.9167,54.91,81,100,5.41,overcast clouds
157,Mahebourg,MU,-20.4081,57.7,75.49,69,20,12.66,few clouds
158,Alofi,NU,-19.0595,-169.9187,76.44,78,4,23.64,clear sky
159,Chota,PE,-6.55,-78.65,52.36,88,9,1.63,clear sky
160,Hilo,US,19.7297,-155.09,74.28,83,100,7.0,overcast clouds
161,Langsa,ID,4.4683,97.9683,87.91,58,99,4.92,overcast clouds
162,Iqaluit,CA,63.7506,-68.5145,41.7,86,100,10.0,overcast clouds
163,Sao Filipe,CV,14.8961,-24.4956,78.33,73,84,6.22,broken clouds
164,Zaysan,KZ,47.4667,84.8667,73.51,16,0,7.67,clear sky
165,Khatanga,RU,71.9667,102.5,30.85,61,65,10.42,broken clouds
166,Baghdad,IQ,33.3406,44.4009,96.71,16,0,5.75,clear sky
167,Zyukayka,RU,58.2025,54.7003,64.4,58,100,14.52,overcast clouds
168,Kathmandu,NP,27.7167,85.3167,82.62,57,40,3.44,scattered clouds
169,Upernavik,GL,72.7868,-56.1549,32.38,97,100,5.14,light snow
170,Cooma,AU,-36.2333,149.1333,57.42,51,0,7.36,clear sky
171,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,4.61,broken clouds
172,Petropavl,KZ,54.8753,69.1628,76.98,31,0,8.95,clear sky
173,Ishigaki,JP,24.3448,124.1572,79.5,69,88,21.39,overcast clouds
174,Rio Gallegos,AR,-51.6226,-69.2181,38.82,81,100,15.59,overcast clouds
175,Vostok,RU,46.4856,135.8833,42.69,50,25,14.56,scattered clouds
176,Ilhabela,BR,-23.7781,-45.3581,65.16,88,100,3.69,overcast clouds
177,Okha,RU,53.5739,142.9478,43.65,93,100,32.66,light rain
178,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,20,12.66,few clouds
179,Shingu,JP,33.7333,135.9833,75.07,56,100,7.78,overcast clouds
180,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,20.71,broken clouds
181,George,ZA,-33.963,22.4617,58.55,67,0,4.61,clear sky
182,Kenitra,MA,34.261,-6.5802,65.16,86,0,1.61,clear sky
183,Westport,US,41.1415,-73.3579,69.78,91,0,1.99,clear sky
184,Berlevag,NO,70.8578,29.0864,44.55,70,40,18.41,scattered clouds
185,Dongsheng,CN,39.8161,109.9776,60.3,38,5,5.7,clear sky
